text,label,importance,correlations
"India's Haldia Petrochemicals trading arm plans to scale up in Asia, sources say. HPL Global, the Singapore unit of India's Haldia Petrochemicals, plans to boost its trade volume by 30% to up to 2 million metric tons and double the number of traders in 2026, two industry sources familiar with the matter said on Wednesday.",positive,importante,CA:WHEAT;LU:FINANCIAL_SERVICES
"BMW to start iX3 production at plant in Hungary's Debrecen from next month. German luxury carmaker BMW will start series production of its iX3 electric model at a new plant in Debrecen, Hungary from the end of next month, the company said in a statement on Wednesday.",positive,importante,CA:WHEAT;LU:FINANCIAL_SERVICES
AstraZeneca's asthma drug fails main goal of COPD study. AstraZeneca said on Wednesday that its asthma drug Fasenra failed the main goal of a late-stage study in patients with chronic obstructive pulmonary disease (COPD).,negative,critique,CA:WHEAT;LU:FINANCIAL_SERVICES;AU:WHEAT
"PostNL unveils 2028 strategy with focus on AI, e-commerce growth. PostNL announced its new strategy on Wednesday at its Capital Markets Day, targeting a normalized EBIT of over 175 million euros ($208 million) by 2028, as part of its vision to drive sustainable growth and innovation.",positive,générale,US:PETROLEUM_CRUDE;HK:SILVER
"Dermata Therapeutics Announces Presentation of Abstract at the European Academy of Dermatology and Venereology Congress 2025. - Abstract highlights additional primary and secondary data from Phase 3 STAR-1 clinical study of XYNGARI™ for the treatment of moderate-to-severe acne - SAN DIEGO, CA / ACCESS Newswire / September 17, 2025 / Dermata Therapeutics, Inc. (Nasdaq:DRMA)(Nasdaq:DRMAW) (""Dermata"" or the ""Company""), a science-driven leader in dermatologic solutions, today announced the presentation of an abstract from its XYNGARI™ (also known as DMT310) Phase 3 Spongilla Treatment of Acne Research clinical trial (STAR-1) will be presented at the European Academy of Dermatology and Venereology (EADV) Congress 2025 being held in Paris, France, from September 17-20th. Details of the abstract are as follows: Abstract Title: Once Weekly Topical Treatment with DMT310 Demonstrates Significant and Early Onset of Effect in Patients with Moderate to Severe Acne Vulgaris - Results from the STAR-1 Phase 3 Study Abstract Number: P3243 The full abstract will be released on Tuesday, September 16, 2025, at 10:00pm (PST).",neutral,générale,FR:BEVERAGES;FR:ELECTRICITY
"Press Release: EADV: Sanofi's brivekimig achieved positive results in hidradenitis suppurativa in phase 2a study. EADV: Sanofi's brivekimig achieved positive results in hidradenitis suppurativa in phase 2a study In phase 2a study, brivekimig led to clinically meaningful improvements in primary and key secondary endpoints in biologic-naïve patients compared to placebo at week 16 Dual-target Nanobody® VHH inhibiting TNF and OX40L being explored across a range of immune-mediated diseases Reaffirms Sanofi's commitment to addressing underlying inflammation across complex, heterogeneous chronic skin diseases Paris, September 17, 2025. New data from the HS-OBTAIN phase 2a study (clinical study identifier: NCT05849922) show that treatment with brivekimig led to clinically meaningful improvements in the primary endpoint of Hidradenitis Suppurativa Clinical Response (HiSCR50) in patients naïve to biologics with moderate-to-severe hidradenitis suppurativa (HS).",positive,importante,FR:FINANCIAL_SERVICES
"Alset AI Announces Voluntary Shareholder Lock-Ups Reflecting Confidence in Company's Long-Term Vision. VANCOUVER, BC / ACCESS Newswire / September 17, 2025 / Alset AI Ventures Inc.(TSXV:GPUS)(OTC:GPUSF)(WKN: A40M0J | SYM: 1R6)(""Alset AI"" or the ""Company"") an artificial intelligence (""AI"") venture company advancing innovation through strategic investment and cloud computing solutions, is pleased to announce that certain shareholders (the ""Locked-Up Shareholders"")beneficially owning or controlling, directly or indirectly, an aggregate of 13,010,068 common shares in the capital of the Company (the ""Shares""), representing approximately 8.39% of the Company's issued and outstanding Shares, have voluntarily agreed to a four-month lock-up periodon the Shares (the ""Voluntary Lock-Up""). The Locked-Up Shareholders includes two insiders of the Company, who together hold 2,638,750 Shares, representing approximately 1.70% of the Company's issued and outstanding Shares.",neutral,générale,CA:WHEAT;LU:FINANCIAL_SERVICES
"IDEX BIOMETRICS ASA SECURES 45,000 SENSOR SYSTEM ORDER AS DIGAWARE ACCELERATES NATIONWIDE ROLLOUT. IDEX BIOMETRICS HAS LANDED AN ORDER OF 45,000 FROM DIGAWARE, THE INNOVATIVE PRODUCT DIVISION OF EMNOVATE, COMPLETING THE SENSOR DELIVERY PIPELINE ANNOUNCED JANUARY 8, 2025. THIS MILESTONE ORDER POSITIONS DIGAWARE TO RAPIDLY SCALE THEIR BREAKTHROUGH BIOMETRIC ACCESS SOLUTIONS ACROSS AMERICA BEFORE EXPANDING GLOBALLY.",positive,importante,
"Oruka Therapeutics Announces $180 Million Private Placement. MENLO PARK, Calif., Sept. 17, 2025 (GLOBE NEWSWIRE) -- Oruka Therapeutics, Inc. (“Oruka” or the “Company”) (Nasdaq: ORKA), a biotechnology company developing novel biologics designed to set a new standard for the treatment of chronic skin diseases, including plaque psoriasis, today announced that it has entered into a securities purchase agreement for a private investment in public equity (“PIPE”) financing that is expected to result in gross proceeds of approximately $180 million to the Company, before placement agent fees and offering expenses. The PIPE financing was led by Viking Global Investors, and included participation from both new and existing investors, including Affinity Healthcare Fund, Blackstone Multi-Asset Investing, Commodore Capital, Cormorant Asset Management, Deep Track Capital, Fairmount, Great Point Partners, LLC, Palo Alto Investors, LP, Perceptive Advisors, Surveyor Capital (a Citadel company), Venrock Healthcare Capital Partners, Woodline Partners LP and a leading life sciences investment firm, among others.",negative,générale,DE:AIRCRAFT;FR:BEVERAGES
"111, Inc. Announces Second Quarter 2025 Unaudited Financial Results. Maintained Quarterly Operational Profitability Operating Expenses as a Percentage of Revenues Decreased 20 Basis Points YoY Maintained Positive Operating Cash Flow in the First Half of the Year SHANGHAI , Sept. 17, 2025 /PRNewswire/ -- 111, Inc. (""111"" or the ""Company"") (NASDAQ: YI), a leading tech-enabled healthcare platform company committed to reshaping the value chain of healthcare industry by digitally empowering the upstream and downstream in China, today announced its unaudited financial results for the second quarter ended June 30, 2025.",negative,générale,CA:WHEAT;LU:FINANCIAL_SERVICES;FR:AIRCRAFT
