text,label,importance,correlations
"China-backed power plant, Astra gold mine lose permits in Indonesian environmental crackdown. A China-backed hydropower plant and a gold mining unit run by Indonesian conglomerate Astra International were among the 28 firms that had their permits revoked by the Jakarta government on Tuesday, accused of environmental breaches that worsened last year's floods.",negative,critique,CA:WHEAT;LU:FINANCIAL_SERVICES
"WISeKey to Unveil SEALCOIN Space-Based, Quantum-Resistant Crypto Transactions at Davos 2026. WISeKey to Unveil SEALCOIN Space-Based, Quantum-Resistant Crypto Transactions at Davos 2026 Geneva, Switzerland, January 21, 2026 – WISeKey International Holding Ltd (“WISeKey”) (SIX: WIHN, NASDAQ: WKEY), a leading global cybersecurity, blockchain, and IoT company, today announces that during its Davos 2026 event which will be held on January 21, in cooperation with its subsidiaries, SEALCOIN and WISeSat.Space (WISeSat) will be unveiling a new class of crypto and machine-economy infrastructure where transactions, identity, and security enforcement extend beyond Earth into orbit. Leveraging WISeSat's operational low-Earth-orbit satellite constellation, secured with hardware-rooted trust and post-quantum-ready cryptography, SEALCOIN platform enables blockchain-based transactions to be executed and enforced using space infrastructure rather than relying solely on terrestrial networks.",negative,générale,US:PETROLEUM_CRUDE;HK:SILVER
"From Classrooms to Careers: Dell Simplifies Learning With Purpose-Built Education PCs and Future-Ready Programs. LONDON--(BUSINESS WIRE)--We're at a critical moment in education. New research and emerging technologies, such as Generative AI, have the potential to reshape how we teach and learn. With decades of leadership in education technology, Dell Technologies is supporting schools in this transformation - equipping students and educators with tools and programs designed for the AI era, ensuring they are prepared for the opportunities ahead. This commitment is reflected in Dell's expanded education por.",negative,générale,CA:WHEAT;LU:FINANCIAL_SERVICES
"Johnson & Johnson Gears Up For Q4 Print; Here Are The Recent Forecast Changes From Wall Street's Most Accurate Analysts. Johnson & Johnson (NYSE: JNJ) will release earnings for the fourth quarter before the opening bell on Wednesday, Jan. 21.",neutral,générale,CA:WHEAT;LU:FINANCIAL_SERVICES
"CCIF: NAV Erosion Is Likely To Continue (Rating Downgrade). Carlyle Credit Income Fund is downgraded to a sell due to persistent NAV declines and lack of near-term catalysts. CCIF's 25.4% yield is attractive, but shrinking dividend coverage and recurring cash flow declines highlight structural risks. The fund's heavy allocation to CLO equity and rising expenses, coupled with limited new investments, threaten future performance.",negative,critique,CA:WHEAT;LU:FINANCIAL_SERVICES;FR:AIRCRAFT
"Massie blasts Trump for selling 'stolen' Venezuelan oil 'for his own piggy bank'. Rep. Thomas Massie criticized President Donald Trump's handling of seized Venezuelan oil, arguing the president cannot legally sell it for ""his own piggy bank.""",negative,importante,CA:WHEAT;LU:FINANCIAL_SERVICES;AU:WHEAT
"Kevin O'Leary Says Until Bitcoin Hits This Level And Gets 'Fully Regulated,' Owning Electricity Will Be More 'Valuable' Than BTC Itself. Renowned investor Kevin O'Leary emphasized the significance of owning energy infrastructure in the cryptocurrency realm on Tuesday, adding that at the right price, electricity can hold greater value than Bitcoin (CRYPTO: BTC) itself. Why Energy Control Is Crucial For Bitcoin Mining O'Leary took to X, adding a clip from a recent interview, in which he highlighted how Bitzero, a Canadian energy infrastructure firm where he serves as a strategic investor, is leasing power for high-performance computing and Bitcoin mining activities.",negative,générale,
"ANTERIS TECHNOLOGIES GLOBAL CORP. ANNOUNCES PRICING OF $200 MILLION PUBLIC OFFERING. MINNEAPOLIS AND BRISBANE, AUSTRALIA, JAN. 20, 2026 (GLOBE NEWSWIRE) -- ANTERIS TECHNOLOGIES GLOBAL CORP. (“ANTERIS” OR THE “COMPANY”) (NASDAQ: AVR, ASX: AVR), A GLOBAL STRUCTURAL HEART COMPANY COMMITTED TO DESIGNING, DEVELOPING, AND COMMERCIALIZING CUTTING-EDGE MEDICAL DEVICES TO RESTORE HEALTHY HEART FUNCTION, TODAY ANNOUNCED THE PRICING OF ITS PUBLIC OFFERING (THE “OFFERING”) OF 34,782,609 SHARES OF ITS COMMON STOCK (THE “SHARES”). THE SHARES ARE BEING SOLD AT A PUBLIC OFFERING PRICE OF $5.75 PER SHARE. THE GROSS PROCEEDS TO THE COMPANY FROM THE OFFERING, PRIOR TO DEDUCTING UNDERWRITING DISCOUNTS, COMMISSIONS AND ESTIMATED OFFERING EXPENSES, ARE EXPECTED TO BE APPROXIMATELY $200 MILLION. THE OFFERING IS EXPECTED TO CLOSE ON JANUARY 22, 2026, SUBJECT TO THE SATISFACTION OF CUSTOMARY CLOSING CONDITIONS.",negative,générale,
Netflix Stock's Sell-Off Just Got Even Worse. Here's Why I'm Still Not Buying the Dip.. Netflix's revenue growth rate accelerated in Q4. The company's paid subscriber count recently crossed 325 million.,negative,importante,IN:IT_SERVICES;FR:FINANCIAL_SERVICES
"IFN: Indian Stock Market Correction Set To Continue As Headwinds Remain In 2026. The India Fund Inc remains unattractive due to persistent high valuations and underperformance versus peers and benchmarks. Despite India's robust economic growth and strong consumer sentiment, IFN's portfolio trades at a PE above 30, exceeding the MSCI India Index. Recent tariff risks, geopolitical uncertainty, and a narrow 3% discount to NAV heighten the risk of further discount widening.",negative,importante,CA:WHEAT;LU:FINANCIAL_SERVICES
"Deutsche Telekom Security Expands Cybersecurity Offerings with Akamai. CAMBRIDGE, Mass., Jan. 21, 2026 (GLOBE NEWSWIRE) -- Akamai (NASDAQ: AKAM) today announced that Deutsche Telekom Security, an  Akamai Partner Connect program member, is using Akamai's Security Certified Service Provider initiative to deliver cybersecurity services to its customers across key industries, including finance, insurance, critical infrastructure, and the public sector.",positive,générale,CA:WHEAT;LU:FINANCIAL_SERVICES;AU:WHEAT
"Top Wall Street Forecasters Revamp Halliburton Expectations Ahead Of Q4 Earnings. Halliburton Company (NYSE: HAL) will release earnings for the fourth quarter before the opening bell on Wednesday, Jan. 21.",neutral,générale,CA:WHEAT;LU:FINANCIAL_SERVICES
"Gold breaks new record on Greenland tariff threats, with forecast of $7,000 on the cards. Gold exceeds $4,800 per ounce as safe-haven demand surges amid geopolitics. After a record-breaking 2025, bullion is entering 2026 with momentum intact.",negative,importante,CA:WHEAT;LU:FINANCIAL_SERVICES;FR:AIRCRAFT
"Mowi ASA (OSE:MOWI): Q4 2025 Trading update. Harvest volumes Q4 2025 (1) Farming Norway 98.0 thousand tonnes   (FY: 332 thousand tonnes) Farming Scotland 12.5 thousand tonnes   (FY: 72 thousand tonnes) Farming Chile 26.5 thousand tonnes   (FY: 78 thousand tonnes) Farming Canada 6.5 thousand tonnes   (FY: 37 thousand tonnes) Farming Ireland 1.0 thousand tonnes   (FY: 11 thousand tonnes) Farming Faroes 3.5 thousand tonnes   (FY: 15 thousand tonnes) Farming Iceland (Arctic Fish) 4.0 thousand tonnes   (FY: 15 thousand tonnes) Total 152.0 thousand tonnes   (FY: 559 thousand tonnes) Full year harvest volumes were record-high 559 thousand tonnes in 2025 vs 502 thousand tonnes in 2024, equivalent to a growth of 11.4%. In connection with the presentation of the Q3 2025 results, Mowi guided a total harvest volume of 147k GWT for Q4 2025.",neutral,générale,FR:ELECTRICITY;DE:AIRCRAFT
"CASHMERE VALLEY BANK REPORTS RECORD EARNINGS OF $29.2 MILLION AND INCREASES SEMI-ANNUAL DIVIDEND. CASHMERE, WA / ACCESS NEWSWIRE / JANUARY 20, 2026 / CASHMERE VALLEY BANK (OTCQX:CSHX) (""BANK"") ANNOUNCED ANNUAL EARNINGS OF $29.2 MILLION FOR THE YEAR ENDED DECEMBER 31, 2025. DILUTED EARNINGS PER SHARE WAS $7.46, WHICH WAS AN INCREASE OF $0.22 FROM THE PRIOR YEAR.",neutral,générale,
SBA enlists Palantir to investigate alleged Minnesota fraud. SBA administrator Kelly Loeffler previews opportunities for small businesses in 2026 and describes her findings on alleged Minnesota fraud on ‘The Bottom Line.' #fox #media #breakingnews #us #usa #new #news #breaking #foxbusiness #thebottomline #politics #political #politicalnews #government #smallbusiness #economy #sba #entrepreneurship #finance #fraud #crime #crimenews #crimestory #criminal #police #minnesota #kellyloeffler #loeffler,neutral,générale,DE:AIRCRAFT;FR:BEVERAGES
"WISeKey's Subsidiary, WISeSat Joins Forces with Spacetalk to Operate a Neutral Platform Dedicated to Global Space Traffic Coordination. WISeKey's Subsidiary, WISeSat Joins Forces with Spacetalk to Operate a Neutral Platform Dedicated to Global Space Traffic Coordination",neutral,importante,US:PETROLEUM_CRUDE;HK:SILVER
"Amazon CEO says that tariffs are starting to 'creep' into prices as vendors run out of stockpiled goods. Amazon CEO Andy Jassy said tariff-driven price hikes are beginning to show. Vendors are running out of pre-tariff inventory and ""don't have endless options,"" says Jassy.",neutral,importante,
"Coca-Cola's CEO said the company is eyeing a big healthy food trend — and it's not protein. Coca-Cola CEO James Quincey said customers might see fiber creep into the company's drinks this year. Coca-Cola already sells Diet Coke with fiber in Japan, a drink aimed to ""address specific dietary needs.",positive,générale,FR:FINANCIAL_SERVICES
What Berkshire's Greg Abel Should Do With All That Cash. The new CEO could enhance the company's returns on its massive cash position with a simple options strategy: cash-secured put sales.,positive,importante,CA:WHEAT;LU:FINANCIAL_SERVICES
Ripple President Predicts 2026 as Breakthrough Year for Institutional Crypto Adoption. Monica Long forecasts stablecoin integration and trillion-dollar balance sheets driving mainstream use,neutral,importante,
"Why Stock-Split Stock ServiceNow Slumped in 2025. There were quite a few share-price-moving events for investors to contemplate over the year. These included not only a stock split, but a crucial update to the company's platform, and a pricey acquisition.",negative,générale,FR:BEVERAGES;FR:ELECTRICITY
"Satoshi Nakamoto's BTC stash – 17 years later, how much is it worth?. Seventeen years of untouched Bitcoin outweighs any single week of tariffs, sell-offs, or headline-driven volatility.",negative,générale,
"Global Tensions: Bitcoin Falls, Gold Hits a New Record. Bitcoin loses its feathers while gold parades at the top perch. Temporary panic or true metamorphosis of a crypto market finally learning to breathe under pressure?",negative,générale,IN:IT_SERVICES
"Rolex, Patek lead high-end watch market rebound even as bitcoin struggles. Secondary watch prices are up about 4% over six months, even as crypto slides and gold and silver absorb the macro stress trade.",positive,importante,
"Bhutan to deploy Sei validator in Q1, eyes tokenization collab. Bhutan is adding to its growing list of blockchain initiatives. It already runs a Bitcoin mining operation and also launched a self-sovereign ID system powered by Ethereum.",positive,importante,
"USD/INR forecast: Here's why the Indian rupee is in a freefall. The Indian rupee continued its strong slump against the US dollar this week, reaching a fresh all-time low. The USD/INR exchange rate rose for five consecutive days, reaching a high of 91.30.",neutral,générale,
