text,label,importance,correlations
"SpaceX's IPO could propel the next generation of rocket companies. Here are 18 members of the SpaceX Mafia to know.. Investors say the SpaceX IPO could become a ""watershed moment for the space industry."" Those who made fortunes in SpaceX's IPO are expected to invest some of their windfall in the next generation.",positive,générale,CA:WHEAT;LU:FINANCIAL_SERVICES;FR:AIRCRAFT
"Progressive Corporation: Exceptional Growth But Normalizing Margins. Progressive Corporation maintains exceptional market-share gains and strong underwriting but faces near-term EPS declines despite continued revenue growth. PGR is reinvesting profitability into customer acquisition and selective rate reductions, leading to margin pressure as competition intensifies and peers restore profitability. Consensus expects PGR's EPS to decline through 2028, with valuation at 12.5x forward earnings reflecting anticipated margin normalization and limited near-term earnings growth.",negative,importante,CA:WHEAT;LU:FINANCIAL_SERVICES;AU:WHEAT
"Hitch Open Ping-Pong Embodied (HOPE) AI Challenge Joins the 2026 World Humanoid Robot Games, Seeding Advanced Physical AI Against Human Performance. Created by Intelligent Racing Foundation and jointly operated with Beao Group, HOPE AI Challenge brings world's top teams to spark next AI breakthrough",positive,générale,FR:ELECTRICITY;DE:AIRCRAFT
"Adobe's Beat And Selloff: The Best Bargain In U.S. Tech (Rating Upgrade). Yesterday, Adobe put out an earnings release that handily beat estimates. Management raised the guidance for full year 2026. Revenue came in at $6.6 billion, an increase of 13%. Earnings also increased; adjusted EPS beat analyst estimates. Investors are evidently concerned about competition from Figma and Canva, but neither of these companies competes with Adobe's full stack.",positive,importante,CA:WHEAT;LU:FINANCIAL_SERVICES;AU:WHEAT
"Revolution Medicines: Strong Data, Big Market (Rating Upgrade). Revolution Medicines is upgraded to buy as Daraxonrasib delivers practice-changing Phase 3 data in pancreatic ductal adenocarcinoma (PDAC). RVMD's $4B pro forma liquidity supports over two years of aggressive clinical expansion, with cash burn focused on value-driving trials and regulatory submissions. Daraxonrasib's Phase 3 results show a 60% reduction in risk of death and doubled median overall survival in metastatic PDAC, supporting a multi-billion-dollar opportunity.",positive,importante,CA:WHEAT;LU:FINANCIAL_SERVICES;FR:AIRCRAFT
"Photos of key moments in SpaceX history, from the scrappy startup days to milestone rocket launches. In 2002, Elon Musk founded a dark-horse company to make rockets reusable, and thus more affordable. That company, SpaceX, went public on Friday at a $1.8 trillion valuation, with shares popping out of the gate.",neutral,importante,CA:WHEAT;LU:FINANCIAL_SERVICES
"WGS INVESTOR ALERT: GENEDX HOLDINGS CORP. INVESTORS WITH SUBSTANTIAL LOSSES HAVE OPPORTUNITY TO LEAD CLASS ACTION LAWSUIT. SAN DIEGO, CALIFORNIA--(NEWSFILE CORP. - JUNE 12, 2026) - ROBBINS GELLER RUDMAN & DOWD LLP ANNOUNCES THAT PURCHASERS OF GENEDX HOLDINGS CORP. (NASDAQ: WGS) COMMON STOCK BETWEEN APRIL 16, 2025 AND MAY 4, 2026, BOTH DATES INCLUSIVE (THE ""CLASS PERIOD""), HAVE UNTIL AUGUST 3, 2026 TO SEEK APPOINTMENT AS LEAD PLAINTIFF OF THE GENEDX CLASS ACTION LAWSUIT. CAPTIONED BASMA V.",negative,importante,
"SES AI SHAREHOLDER ALERT: CLAIMSFILER REMINDS INVESTORS WITH LOSSES IN EXCESS OF $100,000 OF LEAD PLAINTIFF DEADLINE IN CLASS ACTION LAWSUIT AGAINST SES AI CORPORATION - SES. NEW ORLEANS, JUNE 12, 2026 /PRNEWSWIRE/ -- CLAIMSFILER, A FREE SHAREHOLDER INFORMATION SERVICE, REMINDS INVESTORS THAT THEY HAVE UNTIL JUNE 26, 2026 TO FILE LEAD PLAINTIFF APPLICATIONS IN A SECURITIES CLASS ACTION LAWSUIT AGAINST SES AI CORPORATION (NYSE: SES) (""SES"" OR THE ""COMPANY""), IF THEY PURCHASED OR OTHERWISE ACQUIRED THE COMPANY'S SECURITIES BETWEEN JANUARY 29, 2025 AND MARCH 4, 2026, INCLUSIVE (THE ""CLASS PERIOD""). THIS ACTION IS PENDING IN THE UNITED STATES DISTRICT COURT FOR THE DISTRICT OF MASSACHUSETTS.",negative,générale,
Prediction: The Second Half of 2026 Will Be a Game-Changing Moment for Nvidia. Nvidia has dominated the AI growth story since the early days of the AI boom. The company recently reported an 85% increase in quarterly revenue.,positive,importante,HK:SILVER;US:PETROLEUM_CRUDE
"Ares Management: The Fears Are Understood, The Discount Has Overshot. Ares Management has corrected ~34% from highs, but its fee base and earnings remain resilient, supporting a buy rating. Q1 2026 showed management fees up 22% YoY, FRE margin expansion to 42.4%, and record fundraising, indicating robust institutional demand. ~85% of AUM is in locked or long-dated vehicles, structurally insulating ARES from rapid credit stress and making the current valuation discount appear excessive.",negative,importante,CA:WHEAT;LU:FINANCIAL_SERVICES
"Galaxy Research Warns Bitcoin Price Could Drop to $40,000 By 2026 End, Odds at 32%. Galaxy sees Bitcoin's base-case floor at $40K-$46K by late 2026, with Polymarket odds at 32% for $40K and 30% for $90K.",neutral,importante,
"AESC and Prevalon Energy Sign 10+ GWh Strategic Supply Agreement to Support Global Energy Storage Growth. /PRNewswire/ -- AESC, a global leader in high-performance batteries and energy storage systems, and Prevalon Energy, a Mitsubishi Power Americas and EES joint",positive,importante,
"SpaceX Stock Will Be Worth More Than Nvidia, According to Certain Wall Street Experts. SpaceX went public on June 12 with an initial market value of $1.77 trillion, making it the largest IPO in history. CNBC's Jim Cramer says mismatched supply and demand could quickly drive SpaceX stock to a $6 trillion valuation.",positive,importante,CA:WHEAT;LU:FINANCIAL_SERVICES
"U.S. spot Bitcoin ETFs add $85.85M in daily inflows as net assets hit $79.65B. According to a recent SoSoValue update, U.S. spot Bitcoin ETFs recorded $85.85 million in daily total net inflow on June 12. Total value traded reached $1.81 billion, while total net assets stood at $79.65 billion.",positive,importante,IN:IT_SERVICES
"WhiteFiber: AI Capacity Scarcity Supports Further Upside. WhiteFiber is rated a buy, with a 13.3% upside to a $29 FY 2026 target price. WYFI benefits from strong AI infrastructure demand, robust revenue growth, and major contract wins like Nscale's $865 million deal. Recent international expansion, notably the Paris project, offers a scalable, less capital-intensive growth lever for WYFI.",positive,importante,DE:AIRCRAFT;FR:BEVERAGES
"Ethereum Price Prediction: ETH Tests Key Support As Bulls Seek Rebound. Ethereum tests key support as analysts watch whether ETH can rebound toward a long-term $35,000 price target.",neutral,générale,
"Prime Medicine's Prime Editing Is Worth The Risk. Prime Medicine's PM359 data gives the stock some early human validation for its main value driver: Prime Editing. PM359 was essentially their most advanced application of Prime Editing, even though CGD is a relatively niche market because it's a rare disease. Management decided to deprioritize PM359, and instead, it's now focused on applying Prime Editing towards larger TAMs like Wilson Disease and AATD.",positive,générale,CA:WHEAT;LU:FINANCIAL_SERVICES
"Is Chewy Stock a Buy as Revenue and Margins Continue to Grow?. Despite turning in solid Q1 results, Chewy slightly lowered its full-year guidance in a weakening consumer environment. The company has resilient business model and the stock is cheap.",neutral,importante,US:PETROLEUM_CRUDE;HK:SILVER
"Bitcoin Price Prediction: BTC Breakout Ignites $160K Bull Run Calls. Bitcoin attempts a short-term breakout as analysts eye a possible move toward the $160,000-$180,000 range.",neutral,générale,
"USD/JPY Weekly Outlook: Can the Fed or BOJ finally force a breakout?. USD/JPY had every reason to break lower last week. Falling oil prices, softer core US inflation and lower Treasury yields wer.",neutral,générale,IN:IT_SERVICES
"Behind The Yield: A Closer Look At NCV. Virtus Convertible & Income Fund offers a 9.6% yield but relies heavily on return of capital, leading to long-term NAV erosion. NCV's portfolio is highly leveraged (32.7%) and mostly below investment grade or unrated, amplifying both risk and return in volatile markets. The fund's high 4.20% expense ratio and persistent NAV decline undermine the sustainability of its attractive yield.",negative,générale,FR:ELECTRICITY;FR:BEVERAGES
"Dividend Announcements: May 30-June 5, 2026. In this article series, I summarize dividend announcements of the past week. Six stocks in my database announced dividend increases, including one stock I own, and one declared a special dividend. W. R. Berkley stands out with an 11.1% dividend increase, a 50¢ special dividend, and the highest quality score this week. Medtronic offers the most value, trading 9% below fair value, but its dividend growth is modest at 1.4%.",neutral,générale,FR:FINANCIAL_SERVICES
