text,label,importance,correlations
"Russia-backed Nayara taps Indian IT firm after Microsoft suspends service, sources say. Russia-backed Indian refiner Nayara Energy, recently sanctioned by the European Union, has turned to domestic firm Rediff.com after the U.S. tech giant Microsoft suspended IT services, three sources familiar with the matter said.",positive,importante,NL:COCOA;CN:RUBBER;US:SOYBEAN
"UniCredit's equity stake in Commerzbank edges up to 20.17%, filing shows. UniCredit's equity stake in Germany's Commerzbank edged up to 20.17% from 19.20%, a filing showed on Tuesday, as the Italian bank pushes for a tie-up between the two lenders.",positive,importante,NL:COCOA;CN:RUBBER;US:SOYBEAN
"Samsung Electronics chief heads to Washington after $16.5 bln Tesla chip deal. The chairman of South Korea's Samsung Electronics Jay Y. Lee departed on Tuesday to Washington for a business trip, a company spokesperson said, a day after unveiling a $16.5 billion deal to supply chips made in Texas to Tesla.",positive,importante,NL:COCOA;CN:RUBBER;US:SOYBEAN
"Stellantis' new CEO sees more 'tough decisions' to fix company. Stellantis said on Tuesday it expected higher net revenue and a low-single digit operating income margin in the second half despite increasing headwinds, as the automaker aimed for a gradual recovery after a tough first half.",positive,importante,NL:COCOA;CN:RUBBER;US:SOYBEAN
"STAR COPPER GAINS CONFIDENCE FOR ROBUST PORPHYRY SYSTEM AT DEPTH ACROSS STAR DEPOSIT IN GOLDEN TRIANGLE REGION. COMPLETION OF HOLE C MARKS DEEPEST DRILLED DEPTH TO-DATE VANCOUVER, BC / ACCESS NEWSWIRE / JULY 29, 2025 / STAR COPPER CORP. (CSE:STCU)(OTCQX:STCUF)(FWB:SOP) (""STAR COPPER"" OR THE ""COMPANY""), A CRITICAL MINERALS EXPLORATION AND DEVELOPMENT COMPANY, IS PLEASED TO SUMMARIZE THE LATEST ACTIVITY AT THE ONGOING DRILL PROGRAM AT ITS FLAGSHIP STAR PROJECT LOCATED WITHIN THE GOLDEN TRIANGLE OF BRITISH COLUMBIA. RECOGNIZED AS ONE OF THE MOST GEOLOGICALLY ENDOWED REGIONS IN THE PROVINCE, THIS FULLY FUNDED CAMPAIGN IS FOCUSED ON EXPANDING THE EXISTING DISCOVERY ACROSS THE STAR PROJECT.",positive,importante,NL:COCOA;CN:RUBBER;US:SOYBEAN
"Trump Doubles Down on Bitcoin as U.S. Pushes for Global Crypto Dominance. Bitcoin's role in the global economy just received a major endorsement—this time from former President Donald Trump, who has openly embraced the digital asset as a key driver of American innovation and financial independence. Once skeptical of crypto's influence, Trump has now placed Bitcoin at the center of his economic vision, pushing forward with a bold plan to position the United States as a dominant force in the digital finance landscape.",positive,importante,NL:COCOA;US:SOYBEAN;CN:RUBBER
"Share Buyback Transaction Details July 24 – July 28, 2025. PRESS RELEASE                                         Share Buyback Transaction Details July 24 – July 28, 2025 Alphen aan den Rijn – July 29, 2025 - Wolters Kluwer (Euronext: WKL), a global leader in professional information solutions, software and services, today reports that it has repurchased 144,684 of its own ordinary shares in the period from July 24, 2025, up to and including July 28, 2025, for €19.7 million and at an average share price of €136.22 The previously disclosed third-party agreements to repurchase €350 million in shares starting May 8, 2025, up to and including July 28, 2025, has hereby been fulfilled. These repurchases are part of the share buyback program announced on February 26, 2025, under which we intend to repurchase shares for up to € 1 billion during 2025.",neutral,importante,NL:COCOA;CN:RUBBER;US:SOYBEAN
"Should You Buy Meta Platforms Stock Before July 30? Wall Street Has a Clear Answer for Investors.. The ""Magnificent Seven"" stocks have delivered mixed performances year to date, but shares of Meta Platform (META 0.64%) have gained 22% due to strong financial results and positive investor sentiment concerning its artificial intelligence (AI) strategy. The company will announce second-quarter earnings results after market close on Wednesday, July 30.",negative,importante,NL:COCOA;CN:RUBBER;US:SOYBEAN
"Companies Struggle to Meet Rising Demand for Personalized Benefits, Aon Survey Finds. Global survey of benefits professionals found only 14 percent of multinationals have global guidelines in place to support personalization DUBLIN , July 29, 2025 /PRNewswire/ -- Aon plc (NYSE: AON), a leading global professional services firm, today released its 2025 Global Benefits Trends Study, which finds that multinational companies are under mounting pressure to offer personalized, inclusive benefits – yet most lack the governance, tools or frameworks to deliver at scale. The study, based on responses from more than 500 global benefits professionals across 45 countries and 16 industries, reveals that only 14 percent of multinationals have global guidelines in place to support personalization, while 65 percent of employees at multinationals would trade current benefits for more choice.",positive,importante,NL:COCOA;CN:RUBBER;US:SOYBEAN
"Gold (XAUUSD) & Silver Daily News: FOMC Forward Guidance Key to Breakout Direction. Gold consolidates near $3,316 as traders await Fed signals; silver weakens below $38 amid policy uncertainty and soft industrial demand.",negative,importante,NL:COCOA;CN:RUBBER;US:SOYBEAN
"Liontown Resources Limited (LINRF) Q4 2025 Earnings Call Transcript. Liontown Resources Limited (OTCPK:LINRF) Q4 2025 Earnings Conference Call July 28, 2025 9:00 PM ET Company Participants Adam Smits - Chief Operating Officer Antonino Ottaviano - CEO, MD & Director Graeme Pettit - Interim Chief Financial Officer Grant Donald - Chief Commercial Officer Conference Call Participants Adam Baker - Macquarie Research Andrew Harrington - Petra Capital Pty Limited, Research Division Glyn Lawcock - Barrenjoey Markets Pty Limited, Research Division Hugo Nicolaci - Goldman Sachs Group, Inc., Research Division Kate McCutcheon - Citigroup Inc., Research Division Lyndon Fagan - JPMorgan Chase & Co, Research Division Reg Spencer - Canaccord Genuity Corp., Research Division Stuart Howe - Bell Potter Securities Limited, Research Division Operator Welcome to Liontown Resources June quarter results call. Following the formal presentation, there will be a Q&A session for investors, analysts and media.",neutral,importante,NL:COCOA;CN:RUBBER;US:SOYBEAN
