text,label,importance
"Pound Sterling Price News and Forecast: GBP/USD crashes as UK GDP disappoints, trade war escalation boost USD. The GBP/USD tumbles over 0.59% on worse than expected Gross Domestic Product (GDP) figures in the UK, which could warrant further easing by the Bank of England (BoE). This and an escalation of the trade war boosted the Greenback.",neutral,importante
"INVESTOR DEADLINE: Robbins Geller Rudman & Dowd LLP Announces that Sarepta Therapeutics, Inc. (SRPT) Investors with Substantial Losses Have Opportunity to Lead Class Action Lawsuit. SAN DIEGO, July 05, 2025 (GLOBE NEWSWIRE) -- Robbins Geller Rudman & Dowd LLP announces that purchasers or acquirers of Sarepta Therapeutics, Inc. (NASDAQ; SRPT) securities between June 22, 2023 and June 24, 2025, inclusive (the “Class Period”), have until August 25, 2025 to seek appointment as lead plaintiff of the Sarepta class action lawsuit. Captioned Dolgicer v. Sarepta Therapeutics, Inc., No. 25-cv-05317 (S.D.N.Y.), the Sarepta class action lawsuit charges Sarepta as well as certain of Sarepta's top executives with violations of the Securities Exchange Act of 1934.",neutral,générale
"DoubleVerify Deadline: DV Investors with Losses in Excess of $100K Have Opportunity to Lead DoubleVerify Holdings, Inc. Securities Fraud Lawsuit. NEW YORK , July 5, 2025 /PRNewswire/ -- Why: Rosen Law Firm, a global investor rights law firm, reminds purchasers of common stock of DoubleVerify Holdings, Inc. (NYSE: DV) between November 10, 2023 and February 27, 2025, both dates inclusive (the ""Class Period""), of the important July 21, 2025 lead plaintiff deadline. So What: If you purchased DoubleVerify common stock during the Class Period you may be entitled to compensation without payment of any out of pocket fees or costs through a contingency fee arrangement.",negative,générale
"RCAT DEADLINE: RCAT INVESTORS WITH LOSSES IN EXCESS OF $100K HAVE OPPORTUNITY TO LEAD RED CAT HOLDINGS, INC. SECURITIES FRAUD LAWSUIT. NEW YORK , JULY 12, 2025 /PRNEWSWIRE/ -- ROSEN LAW FIRM, A GLOBAL INVESTOR RIGHTS LAW FIRM, REMINDS PURCHASERS OF SECURITIES OF RED CAT HOLDINGS, INC. (NASDAQ: RCAT) BETWEEN MARCH 18, 2022 AND JANUARY 15, 2025, BOTH DATES INCLUSIVE (THE ""CLASS PERIOD""), OF THE IMPORTANT JULY 22, 2025 LEAD PLAINTIFF DEADLINE. SO WHAT: IF YOU PURCHASED RED CAT SECURITIES DURING THE CLASS PERIOD YOU MAY BE ENTITLED TO COMPENSATION WITHOUT PAYMENT OF ANY OUT OF POCKET FEES OR COSTS THROUGH A CONTINGENCY FEE ARRANGEMENT.",negative,générale
"ELV Deadline: ELV Investors with Losses in Excess of $100K Have Opportunity to Lead Elevance Health, Inc. Securities Fraud Lawsuit. NEW YORK , July 5, 2025 /PRNewswire/ -- Why: Rosen Law Firm, a global investor rights law firm, reminds purchasers of common stock of Elevance Health, Inc. (NYSE: ELV) between April 18, 2024 and October 16, 2024, both dates inclusive (the ""Class Period""), of the important July 11, 2025 lead plaintiff deadline. So what: If you purchased Elevance Health common stock during the Class Period you may be entitled to compensation without payment of any out of pocket fees or costs through a contingency fee arrangement.",negative,générale
"VERONA PHARMA INVESTOR ALERT BY THE FORMER ATTORNEY GENERAL OF LOUISIANA: KAHN SWICK & FOTI, LLC INVESTIGATES ADEQUACY OF PRICE AND PROCESS IN PROPOSED SALE OF VERONA PHARMA PLC - VRNA. NEW YORK & NEW ORLEANS--(BUSINESS WIRE)--FORMER ATTORNEY GENERAL OF LOUISIANA CHARLES C. FOTI, JR., ESQ. AND THE LAW FIRM OF KAHN SWICK & FOTI, LLC (“KSF”) ARE INVESTIGATING THE PROPOSED SALE OF VERONA PHARMA PLC (NASDAQGM: VRNA) TO MERCK & CO., INC. (NYSE: MRK). UNDER THE TERMS OF THE PROPOSED TRANSACTION, SHAREHOLDERS OF VERONA WILL RECEIVE $107.00 IN CASH FOR EACH SHARE OF AMERICAN DEPOSITORY SHARE THAT THEY OWN. KSF IS SEEKING TO DETERMINE WHETHER THIS CONSIDERATION AND THE PROCESS.",positive,générale
"Ethereum (ETH): $3,000 Rally Begins? Bitcoin (BTC): $120,000 Delayed, Shiba Inu (SHIB): Major Price Test Incoming. It looks like Ethereum is setting the stage for a possible surge toward the psychologically significant $3,000 mark. Ethereum has developed a narrow consolidation range above the crucial support cluster at $2,400 over the last few weeks.",neutral,importante
"SelectQuote, Inc. Investor News: If You Have Suffered Losses in SelectQuote, Inc. (NYSE: SLQT), You Are Encouraged to Contact The Rosen Law Firm About Your Rights. NEW YORK, July 05, 2025 (GLOBE NEWSWIRE) -- WHY: Rosen Law Firm, a global investor rights law firm, continues to investigate potential securities claims on behalf of shareholders of SelectQuote, Inc. (NYSE: SLQT) resulting from allegations that SelectQuote may have issued materially misleading business information to the investing public.",positive,générale
"Silver (XAG) Forecast: Will Silver Market Maintain Its Bullish Outlook Over $36.30?. Silver holds a bullish outlook above $36.30, with traders eyeing a potential rally toward 13-year highs as the dollar softens and gold supports safe-haven bids.",neutral,importante
"ROSEN, GLOBAL INVESTOR COUNSEL, ENCOURAGES PETCO HEALTH AND WELLNESS COMPANY, INC. INVESTORS TO SECURE COUNSEL BEFORE IMPORTANT DEADLINE IN SECURITIES CLASS ACTION – WOOF. NEW YORK, JULY 12, 2025 (GLOBE NEWSWIRE) -- WHY: ROSEN LAW FIRM, A GLOBAL INVESTOR RIGHTS LAW FIRM, REMINDS PURCHASERS OF SECURITIES OF PETCO HEALTH AND WELLNESS COMPANY, INC. (NASDAQ: WOOF) BETWEEN JANUARY 14, 2021 AND JUNE 5, 2025, BOTH DATES INCLUSIVE (THE “CLASS PERIOD”), OF THE IMPORTANT AUGUST 29, 2025 LEAD PLAINTIFF DEADLINE.",negative,générale
