text,label,importance,correlations
"Belgian insurer Ageas to pay $2.2 bln to BNP Paribas to buy full control of AG Insurance. Belgian insurer Ageas said on Monday it had agreed to buy a 25% stake in AG Insurance, giving it full 100 percent ownership of AG Insurance, for 1.9 billion euros ($2.21 billion) from BNP Paribas.",positive,importante,CA:WHEAT;LU:FINANCIAL_SERVICES
"L'Oreal increases stake in Galderma to 20%. French cosmetics group L'Oreal increased its stake in dermatology firm Galderma to 20%, as it bought a further 10% stake in the company, the Swiss firm said in a statement on Monday.",positive,importante,CA:WHEAT;LU:FINANCIAL_SERVICES
"OSE Immunotherapeutics Announces Strategic Amendment to AbbVie's Partnership on ABBV-230 Development. OSE Immunotherapeutics Announces Strategic Amendment to AbbVie's Partnership on ABBV-230 Development Strategic Amendment Enhances OSE Immunotherapeutics' Role in ABBV-230 Development While Preserving AbbVie's Long-Term Commitment NANTES, France, December 8 th , 2025 – 7:30am CET - OSE Immunotherapeutics SA (ISIN: FR0012127173; Mnemo: OSE) today announced an amendment to its partnership agreement with AbbVie regarding ABBV-230, a monoclonal antibody designed to resolve chronic and severe inflammation, currently in the pre-clinical development stage. Under the revised agreement, OSE Immunotherapeutics regains control of the early-stage development of the ABBV-230, while AbbVie maintains its rights to control future development and commercialization following successful completion of Phase 1.",positive,importante,CA:WHEAT;LU:FINANCIAL_SERVICES;FR:AIRCRAFT
"SNPS Investors Have Opportunity to Lead Synopsys, Inc. Securities Fraud Lawsuit with the Schall Law Firm. LOS ANGELES , Dec. 8, 2025 /PRNewswire/ -- The Schall Law Firm , a national shareholder rights litigation firm, reminds investors of a class action lawsuit against Synopsys, Inc. (""Synopsys"" or ""the Company"") (NASDAQ: SNPS) for violations of §§10(b) and 20(a) of the Securities Exchange Act of 1934 and Rule 10b-5 promulgated thereunder by the U.S. Securities and Exchange Commission. Investors who purchased the Company's securities between December 4, 2024 and September 9, 2025, inclusive (the ""Class Period""), are encouraged to contact the firm before December 30, 2025.",negative,importante,CA:WHEAT;LU:FINANCIAL_SERVICES;AU:WHEAT
"Evotec Closes Sale of Just - Evotec Biologics' Toulouse Site to Sandoz. All closing requirements satisfied following announcement of a non-binding term-sheet agreement in July and signing of contract in November Agreement includes approximately US$ 350 m in cash for Just - Evotec Biologics manufacturing site in Toulouse and upfront technology license fees to Evotec's continuous manufacturing platform In addition, Evotec eligible for license fees, and development revenues including success-based milestones adding up to more than US$ 300 m over the coming years,replacing existing contractual commitments Transaction covering royalties on a portfolio ofup to ten biosimilars in technical and early development targetingmore than US$ 90 bn of originator net sales Sale immediately earnings accretive, improving Evotec's short, mid and long-term revenue mix, profit margins, and capital efficiency HAMBURG, DE / ACCESS Newswire / December 8, 2025 / Evotec SE (Frankfurt Stock Exchange:EVT, SDAX/TecDAX, Prime Standard, ISIN: DE0005664809, WKN 566480; NASDAQ:EVO) today announced the closing of its previously reported sale of the Just - Evotec Biologics Toulouse site plus an indefinite technology license to Evotec's continuous manufacturing platform technology to Sandoz AG (SIX:SDZ / OTCQX:SDZNY), effective 05 December 2025. In total, potential payments may exceed US$ 650 m plus royalties on a portfolio of up to 10 biosimilar molecules, of which six have an originator net sales value of US$ 90 bn.",positive,importante,CA:WHEAT;LU:FINANCIAL_SERVICES
"Synopsys, Inc. Sued for Securities Law Violations - Contact the DJS Law Group to Discuss Your Rights - SNPS. LOS ANGELES , Dec. 8, 2025 /PRNewswire/ -- The DJS Law Group  reminds investors of a class action lawsuit against  Synopsys, Inc. (""Synopsys "" or ""the Company"") (NASDAQ: SNPS ) violations of §§10(b) and 20(a) of the Securities Exchange Act of 1934 and Rule 10b-5 promulgated thereunder by the U.S. Securities and Exchange Commission. Shareholders who purchased shares of SNPS during the class period listed are encouraged to contact the firm regarding possible lead plaintiff appointments.",negative,importante,CA:WHEAT;LU:FINANCIAL_SERVICES;AU:WHEAT
"ASH 2025: Cellectis Presents Development Plan to Further Enhance High Response Rate Observed for Eti-cel in r/r NHL. NEW YORK, Dec. 08, 2025 (GLOBE NEWSWIRE) -- Cellectis (the “Company”) (Euronext Growth: ALCLS – NASDAQ: CLLS), a clinical-stage biotechnology company using its pioneering gene-editing platform to develop life-saving cell and gene therapies, announced the presentation of encouraging updated data of patients treated in the Phase 1 NATHALI-01 clinical trial with eti-cel, at the 67th Annual Meeting of the American Society of Hematology (ASH) in Orlando, FL.",positive,générale,CA:WHEAT;LU:FINANCIAL_SERVICES;FR:AIRCRAFT
"Cool Company Ltd Announces Updated Record Date for Special Meeting for Proposed Merger with Newly Formed, Wholly Owned Subsidiary of EPS Ventures Ltd. LONDON--(BUSINESS WIRE)--COOL COMPANY Ltd. (“CoolCo” or the “Company”) (NYSE: CLCO / CLCO.OL) has announced today that it has established an updated record date of December 16, 2025 for a special meeting of its shareholders. At the special meeting, the date of which will be announced in due course, the Company's shareholders will vote on the previously announced proposed merger of CoolCo with a newly formed, wholly owned subsidiary of EPS Ventures Ltd. CoolCo shareholders of record at the close.",neutral,générale,FR:BEVERAGES;DE:AIRCRAFT
"China Eastern Airlines Launches New 'Shanghai–Auckland–Buenos Aires' Route, Building 'Air Bridge' on Pacific. SHANGHAI--(BUSINESS WIRE)--China Eastern Airlines (CEA) inaugurated its new Shanghai–Auckland–Buenos Aires route on Dec. 4. The inaugural flight, operated by CEA's ""National Museum of China"" themed aircraft, carried 282 passengers on a 20,000-kilometer journey. The new route marks the first direct flight from Shanghai to a major South American city, opening a new ""southbound corridor"" across the Pacific and offering an alternative to the traditional Europe- or North America-based transfer route.",positive,générale,DE:AIRCRAFT;FR:ELECTRICITY
"AppLovin to Participate in the Nasdaq 53rd Investor Conference Held in Association with Morgan Stanley. PALO ALTO, Calif.--(BUSINESS WIRE)--AppLovin Corporation (NASDAQ: APP) (“AppLovin” or the “Company”), the leading marketing platform, today announced that it will participate in a fireside chat at the Nasdaq 53rd Investor Conference held in association with Morgan Stanley in London, United Kingdom on Tuesday, December 9, 2025 at 10:35 a.m. GMT. A webcast of the event will be available on the Company's Investor Relations website at https://investors.applovin.com and a replay will be available fo.",negative,générale,FR:BEVERAGES;FR:ELECTRICITY
