text,label,importance,correlations
"StoneCo: Credit Portfolio Growth Gives Flashbacks Of 2021 But This Time It's Different. Despite rising 84% YTD, StoneCo stock remains >80% below its highs and has stalled recently. The Linx divestiture is part of the reason, but there is more to the story. The credit portfolio surged 27% sequentially in Q3, while NPLs ticked up to 5.03%, triggering investor PTSD of the 2021 credit collapse that wiped out 80% of StoneCo's market value. Data shows the Credit 2.0 product is structurally immune to the 2021 flaws, protected by a direct integration with the Registry of Receivables and a fortress-like 265% coverage ratio.",negative,importante,CA:WHEAT;LU:FINANCIAL_SERVICES;AU:WHEAT
"NioCorp Developments: Pre-Production, But Worth A Place In A Long-Term Portfolio. NioCorp Developments is a pre-revenue, US-based miner focused on niobium, scandium, and titanium, rated a Strong Buy after a significant pullback. NB's Elk Creek project is fully permitted, with a 38-year mine life, projected $21.9B gross revenue, and 68% EBITDA margin; production start is 3–4 years away. Current EV of $521M implies a forward EV/EBITDA of 1.29, presenting substantial upside versus sector median multiples, even without rare earth expansion.",positive,importante,CA:WHEAT;LU:FINANCIAL_SERVICES
"NBCOIN Announces Launch of Its RWA Connector and Marketplace Infrastructure for Compliant Real-World Asset Tokenization. New York, Dec. 24, 2025 (GLOBE NEWSWIRE) -- As the adoption of Real-World Assets (RWA) accelerates globally, NBCOIN, a next-generation Layer 1 blockchain, is emerging as a focal point of industry attention. Over recent months, NBCOIN has made consecutive appearances at major international blockchain conferences and regional community events, systematically presenting its vision for a compliance-first, AI-enabled, real-world-connected blockchain infrastructure.",positive,générale,FR:BEVERAGES;DE:AIRCRAFT
"UPCOMING DEADLINE: Faruqi & Faruqi, LLP Investigates Claims on Behalf of Investors of Gauzy. Faruqi & Faruqi, LLP Securities Litigation Partner  James (Josh) Wilson Encourages Investors Who Suffered Losses In Gauzy To Contact Him Directly To Discuss Their Options",negative,importante,CA:WHEAT;LU:FINANCIAL_SERVICES;FR:AIRCRAFT
"Oil and Natural Gas Technical Analysis: Holiday Liquidity and Geopolitical Risks Lift Energy Prices. WTI oil rebounded from $55 on holiday-thinned liquidity and geopolitical risks, while natural gas held a bullish structure above $2.60 amid a weakening U.S. Dollar Index.",neutral,générale,CA:WHEAT;LU:FINANCIAL_SERVICES
"If You'd Invested $10,000 in Verizon Communications 10 Years Ago, Here's How Much You'd Have Today. A $10,000 Verizon investment in 2015 would be worth just $14,650 today, badly trailing the S&P 500. The same investment made in 2005 grew to $27,400 by 2015, beating the market.",positive,générale,DE:AIRCRAFT;FR:ELECTRICITY
"BC.GAME goes double-track: partnering with Abu Dhabi T10 and Deccan Gladiators to deliver a digital-first cricket spectacle. /PRNewswire/ -- At the 2025 Abu Dhabi T10 League, BC.GAME took a ""double-track"" approach to modern sports sponsorship. Alongside league-level partnership",positive,générale,US:PETROLEUM_CRUDE;HK:SILVER
"BATTERY X METALS APPOINTS FORMER DIRECTOR AND EXECUTIVE OFFICER OF FORTUNE 500 SKECHERS USA, INC. TO ADVISORY BOARD TO SUPPORT STRATEGIC CAPITAL MARKETS AND NEXT-GENERATION LITHIUM-ION BATTERY TECHNOLOGY GROWTH INITIATIVES. NEWS RELEASE HIGHLIGHTS: BATTERY X METALS INC. ESTABLISHES ADVISORY BOARD AND APPOINTS ITS FIRST MEMBER, MR. JEFFREY GREENBERG, A FORMER DIRECTOR AND FOUNDING-FAMILY EXECUTIVE OF FORTUNE 500 COMPANY SKECHERS USA INC., TO SUPPORT STRATEGIC CAPITAL MARKETS INITIATIVES AND LONG-TERM GROWTH AS THE COMPANY ADVANCES THE DEVELOPMENT AND COMMERCIALIZATION OF ITS LITHIUM-ION BATTERY TECHNOLOGIES.",neutral,générale,
"Immatics: PRAME Leader's Transition To Commercial Reality. Immatics executes a three-wave strategy, progressing from melanoma treatment to broader solid tumors and scalable bispecific TCR therapeutics. IMTX's $505.8M cash position funds operations through 2027, covering BLA submission and anticipated commercial launch, reducing near-term financing risk. Anzu-cel's Phase 3 SUPRAME trial and IMA203CD8's promising ovarian cancer data support a robust, expanding clinical pipeline with significant addressable markets.",positive,importante,CA:WHEAT;LU:FINANCIAL_SERVICES;AU:WHEAT
"Nvidia Reportedly Shells Out $20.6 Billion For Groq, CEO Jonathan Ross Says He's Joining Rival Chip Giant Along With The Team. Groq has licensed its inference technology to Nvidia for $20 billion in cash to boost AI performance worldwide. Groq will remain independent.",positive,importante,FR:FINANCIAL_SERVICES
"Nuveen Churchill Direct Lending: Trades At A Deep Discount For A Reason. Nuveen Churchill Direct Lending Corp. is rated a sell due to declining NAV, weak earnings, and unsustainable dividend coverage. NCDL trades at a 22.46% discount to NAV, reflecting persistent headwinds, not a value opportunity. Net investment income fell to $0.43 per share, below the $0.45 dividend, signaling risk of a future cut.",negative,générale,CA:WHEAT;LU:FINANCIAL_SERVICES
"Caliway's Fat Reduction Drug Candidate CBL-514 Completes U.S. FDA IND Submission for Phase 2 Clinical Study in Weight Management, Expanding Development Combined with GLP-1RA-Based Weight-Loss Therapies. Caliway has completed submission of an Investigational New Drug (IND) application to the U.S. Food and Drug Administration (FDA) for a Phase 2 clinical study",positive,importante,
"Ripple CTO Shuts Down XRP “Dumping” Claims, Explains Why Escrow Actually Limited Sales. Ripple Chief Technology Officer David Schwartz has publicly addressed renewed accusations surrounding Ripples XRP sales, clarifying that the creation of the Ripple escrow system actually restricted, rather than enabled, large-scale XRP sales. His comments came in response to a social media claim alleging that the escrow was designed to systematically dump 1 billion XRP into the market each month to fund executives careers at the expense of retail investors.",negative,importante,
"Holiday barks sold at Aldi recalled over potential undeclared pecans, wheat: FDA. Silvestri Sweets expanded its recall of Choceur-branded holiday bark sold at Aldi stores after a packaging mix-up led to undeclared allergens in the product.",negative,critique,FR:BEVERAGES;FR:ELECTRICITY
"Nike, Omeros Corporation, Micron Technology, Intel And Dynavax Technologies: Why These 5 Stocks Are On Investors' Radars Today. The Dow Jones Industrial Average climbed 0.6% to 48,731.16, while the S&P 500 added 0.32% to close at 6,932.05.",negative,générale,
"Jack in the Box shut down more than 70 stores with more expected by year's end over financial struggles. Jack in the Box is closing dozens of restaurants as part of a major cost-cutting plan, with 72 locations shuttered so far and more expected in the near future.",negative,critique,FR:FINANCIAL_SERVICES
"Bitcoin Sees Brief $24K Wick on Binance USD1 Pair Before Rapid Rebound Above $87K. Bitcoin experienced an unusual and dramatic price anomaly late Tuesday when the BTC/USD1 trading pair on Binance briefly displayed a plunge to $24,111 before snapping back above $87,000 within seconds, according to exchange data. The sudden move appeared as a sharp wick on charts and quickly drew attention across the crypto market, though it did not reflect a broader bitcoin crash.",neutral,générale,
"REMX: Rare Earth Elements Present Growth From Nearshoring. VanEck Rare Earth and Strategic Metals ETF earns a Buy rating as a portfolio diversifier targeting rare earth element exposure. REMX offers concentrated, liquid exposure to 26 REE-related equities, balancing regional allocations across Australia, China, and the US. Secular demand for REEs outside China, supply chain concerns, and strategic investments—such as in MP Materials—support the investment thesis.",positive,importante,CA:WHEAT;LU:FINANCIAL_SERVICES
"EUR/JPY: 2025's Biggest Surprise – The Great Short That Wasn't. This time last year, I genuinely thought EUR/JPY was set up for a bearish 2025. The European economy looked weak enough to justify multiple rate cuts from the European Central Bank, while the Bank of Japan appeared primed to hike rates to levels not seen in decades.",negative,générale,
"Silver (XAG) Forecast: A Pre-Holiday Pause After Record High — Silver Outlook Tightens. Silver pauses after a record run, with traders watching for a pre-holiday cooldown. The trend stays intact, but stretched conditions raise pullback risk.",negative,générale,IN:IT_SERVICES
"Palo Alto Networks: Massively Expanding Its Turf. Palo Alto Networks remains a buy, trading at reasonable levels amid a substantially expanded $300B TAM and strong organic execution. PANW's $3.35B Chronosphere acquisition, with $160M ARR growing triple digits, offers attractive economics and strategic entry into observability. Recent M&A, including Chronosphere and CyberArk, positions PANW to compete directly with Datadog and expand beyond core cybersecurity.",positive,importante,CA:WHEAT;LU:FINANCIAL_SERVICES
"SM Investments certified as a Great Place to Work® in 2025. /PRNewswire/ -- SM Investments Corporation (SM Investments), the parent company of the SM group, has been certified as a Great Place to Work for 2025 by the",neutral,générale,HK:SILVER;US:PETROLEUM_CRUDE
"Gold (XAU/USD) Price Forecast: New Record $4,526 – Short-Term Weakness After Target. Gold reached a new high of $4,526 Wednesday in a shortened holiday session but closed below Tuesday's high and close, showing short-term indecision after satisfying a 127.2% extension target at $4,516.",neutral,générale,
"EVG: Attractively Valued And Reliable Monthly Dividend. Eaton Vance Short Duration Diversified Income Fund offers an 8.3% yield, monthly payouts, and trades at a 4.4% discount to NAV. EVG's low-duration, globally diversified, income-focused strategy has delivered consistent distributions and solid total returns, despite limited capital appreciation. Leverage at 26.7% of assets amplifies both upside and downside, but strong dividend coverage and resilient earnings support the current payout.",positive,importante,CA:WHEAT;LU:FINANCIAL_SERVICES
"2025's Top Market Lesson: Silver's Record Rally and the Anatomy of a Momentum Breakout. It was a strong year for metals with the entire block outperforming broader risk assets 2025. Year-to-date, Copper is up more than 30%, Gold has rallied more than 60% and Platinum surged more than 100%.",positive,importante,
"Bitcoin and AI Tokens Rally After Nvidia's $20B Groq Inference Deal. Bitcoin and leading AI-focused cryptocurrencies surged after Nvidia announced a landmark $20 billion artificial intelligence inference technology deal with AI chip startup Groq, signaling accelerating convergence between AI innovation and the crypto market. The announcement, made on December 24, reignited investor optimism across both sectors, pushing Bitcoin close to the $88,000 level while driving strong rebounds in several AI-related tokens.",positive,importante,
"TITANIUM PROVIDES UPDATE FOLLOWING CONTINUOUS DISCLOSURE REVIEW. BOLTON, ONTARIO, DEC. 24, 2025 (GLOBE NEWSWIRE) -- TITANIUM TRANSPORTATION GROUP INC. (“TITANIUM” OR THE “COMPANY”) (TSX:TTNM, OTCQX:TTNMF) ANNOUNCED THAT, FURTHER TO A CONTINUOUS DISCLOSURE REVIEW BY STAFF OF THE ONTARIO SECURITIES COMMISSION (THE “OSC”), THE COMPANY IS PROVIDING AN UPDATE REGARDING ENHANCEMENTS TO ITS CORPORATE PRESENTATION MATERIALS AND PROSPECTIVE MANAGEMENT'S DISCUSSION AND ANALYSIS (MD&A).",neutral,générale,
"GSY: Low Risk Premium Over T-Bills. Invesco Ultra Short Duration ETF is recommended as a tactical cash-plus vehicle for parking liquidity amid current rate dynamics. GSY's active management, short duration (0.51 years), and diversified credit exposure deliver higher yields than Treasury bill-only peers. Despite a 0.22% expense ratio, GSY consistently outperforms both risk-free and cash-plus ETF peers in total return.",neutral,générale,CA:WHEAT;LU:FINANCIAL_SERVICES;FR:AIRCRAFT
"Holiday Options Expiry Raises Short-Term Bitcoin Volatility. As Christmas approaches, crypto markets are seeing thinning liquidity and reduced leverage, increasing the risk of short-term price swings. A massive year-end options expiry may drive volatility, but history suggests any holiday moves are likely to fade in January.",negative,générale,
"Dormant Bitcoin Whale Awakens After 8 Years, Sparks Market Speculation. The crypto market is once again buzzing after a long-dormant Bitcoin whale resurfaced following eight years of inactivity, moving a massive 400 BTC to the OKX exchange. This rare on-chain activity has drawn widespread attention, as the transaction reportedly generated an estimated profit of $30.4 million, reigniting discussions around whale behavior and its impact on Bitcoin price trends.",negative,générale,
3 Reasons to Buy Uber Stock Like There's No Tomorrow. Uber leads the global rideshare and delivery markets. Uber continues to grow its revenue and profits.,positive,importante,
