text,label,importance
"TSMC posts Q2 sales of T$933.8 billion, above forecasts. TSMC , the world's largest contract chipmaker, reported on Thursday second-quarter revenue of T$933.80 billion ($31.9 billion), beating market forecasts, as demand for the company's products leaps on surging interest in artificial intelligence (AI) applications.",neutral,importante
"Gerresheimer cuts its 2025 revenue outlook for second time. German packaging and medical equipment maker Gerresheimer cut its revenue guidance for 2025 for a second time on Thursday, seeing continued weak demand in the cosmetic and oral liquids markets.",positive,critique
"Amazon considers another multibillion-dollar investment in Anthropic, FT reports. Amazon is considering another multibillion-dollar investment in AI firm Anthropic to strengthen their strategic partnership, the Financial Times reported on Thursday, citing people with knowledge of the talks.",positive,importante
"Norway's savings banks grow bolder, turning up the heat on DNB. Norway's DNB faces rising competition on its home turf as a wave of consolidation among savings banks begins to reshape the country's banking landscape, analysts say, at a time when falling interest rates add fresh pressure on margins.",positive,critique
"UAE's Masdar, Iberdrola invest in 1.4 gigawatt wind farm in the UK. Abu Dhabi's state-owned renewable energy company Masdar and Spain's Iberdola will jointly invest in a 1.4 gigawatt (GW) wind farm in the United Kingdom, Masdar's parent company TAQA said in a statement on Thursday.",negative,générale
"WPP names Microsoft exec Cindy Rose as new CEO. British ad group WPP named board member Cindy Rose as its new chief executive on Thursday, handing the top job to a senior executive from Microsoft a day after it downgraded profit forecasts.",negative,générale
"IFF EXPANDS INNOVATION CENTER IN SINGAPORE WITH NEW IMMERSIVE EXPERIENCE HUB. SINGAPORE--(BUSINESS WIRE)--IFF (NYSE: IFF)—A GLOBAL LEADER IN FLAVORS, FRAGRANCES, FOOD INGREDIENTS, HEALTH AND BIOSCIENCES—TODAY UNVEILED ITS NEW IMMERSIVE EXPERIENCE HUB LOCATED WITHIN ITS SINGAPORE INNOVATION CENTER. THE MULTI-SENSORY FACILITY ENABLES IFF TO WORK ALONGSIDE CUSTOMERS TO CONCEPTUALIZE, TEST, AND REFINE PRODUCT IDEAS IN SIMULATED REAL-WORLD ENVIRONMENTS—ENHANCING DECISION-MAKING, SHORTENING DEVELOPMENT TIMELINES AND IMPROVING GO-TO-MARKET SUCCESS. “THE NEW SPACE BUILDS ON IFF'.",neutral,importante
"Kraft Heinz Announces Agreement to Sell Italian Baby and Specialty Food Business to Italy's NewPrinces Group. PITTSBURGH & CHICAGO--(BUSINESS WIRE)--The Kraft Heinz Company (Nasdaq: KHC) (“Kraft Heinz” or the “Company”) announced today that it has entered into an agreement to sell its infant and specialty food business in Italy to NewPrinces S.p.A. (“NewPrinces” and, together with its subsidiaries, the “NewPrinces Group”), one of the country's leading food and beverage producers.The proposed transaction is expected to close at the end of 2025, subject to regulatory review and approval. The agreement wi.",positive,générale
"ADOBE AND THE PREMIER LEAGUE KICK OFF A CREATIVE REVOLUTION FOR GLOBAL FANBASE. LONDON--(BUSINESS WIRE)--TODAY AT ADOBE SUMMIT LONDON, ADOBE (NASDAQ: ADBE) AND THE PREMIER LEAGUE ANNOUNCED A MULTI-YEAR PARTNERSHIP TO BRING NEW AI-POWERED PERSONALISED DIGITAL EXPERIENCES TO FANS AROUND THE WORLD AND PROVIDE NEW OPPORTUNITIES FOR FANS TO EXPRESS THEIR CREATIVITY. ADOBE'S CREATIVITY, MARKETING AND AI TECHNOLOGY IS CENTRAL TO THE PREMIER LEAGUE'S DIGITAL TRANSFORMATION AND IS UNLOCKING NEW WAYS FOR FANS TO CREATE AND SHARE PREMIER LEAGUE CONTENT, ENGAGE WITH THEIR FANTASY PREM.",neutral,importante
"Gutierrez: US-China trade deal will not be done by August 1, copper tariffs will cause shortages. Carlos Gutierrez, former US Commerce Secretary, says any potential US-China trade deal will be a long-term one, and nothing like the 'mini' deals being settled with other US trading partners – adding that the issue of transshipments from Vietnam will be part of Trump's negotiations with China. He also says there will be shortages and price increases in copper following the tariffs as the US doesn't have the capacity right now to offset imports.",positive,générale
"Restaurant Brands International: It's Quickly Serving Some Upsides. Restaurant Brands International faces inflationary headwinds and shifting consumer preferences but remains resilient through turnaround strategies, especially with Burger King's ongoing modernization and acquisitions. QSR maintains strong liquidity, prudent debt management, and robust free cash flow, supporting continued investment and dividend payments despite macroeconomic challenges. Valuation remains attractive with a reasonable 4% upside and a solid 3.54% dividend yield, though the price is nearing target levels, prompting a more conservative outlook.",neutral,importante
"PONY AI Inc. Begins Mass Production and Road Testing of Multiple Gen-7 Robotaxi Models. NEW YORK, July 10, 2025 (GLOBE NEWSWIRE) -- Pony AI Inc. (“Pony.ai” or the “Company”) (Nasdaq: PONY), a global leader in achieving large-scale commercialization of autonomous mobility, today announced that its seventh-generation (“Gen-7”) Robotaxi recently entered mass production for multiple models and began road testing. This milestone brings Pony.ai significantly closer to its goal of expanding its fleet to 1,000 vehicles by the end of 2025, laying a strong foundation for future large-scale commercial deployment.",neutral,importante
"EUR/USD rises to near 1.1750 due to uncertainty over Fed rates, tariff concerns. EUR/USD appreciates after registering mild losses in the previous session, trading around 1.1730 during the Asian hours on Thursday. The pair appreciates as the US Dollar (USD) loses ground following the latest Federal Open Market Committee (FOMC) Meeting Minutes and developments on US tariffs.",neutral,générale
India's oil dilemma: How far is New Delhi prepared to go to secure its supply?. India's Petroleum Minister tells CNBC that the country helped global oil price stability by purchasing Russian oil. CNBC's Dan Murphy and Sri Jegarajah discuss how far is India prepared to go to secure its domestic supply as the U.S. proposes sanctions on buyers of Russian oil.,negative,générale
"India's purchases of Russian oil helped to stabilize global oil prices: Hardeep Singh Puri. India's Minister of Petroleum and Natural Gas, Hardeep Singh Puri, elaborates on the rationale for the country's decision to purchase oil from Russia. He adds that oil prices could have ""gone up to $130 a barrel"" if countries, including India, has stopped buying Russian oil.",positive,importante
"Cornish Metals Announces Exercise of Stock Options and Issue of Equity. VANCOUVER, British Columbia, July 10, 2025 (GLOBE NEWSWIRE) -- Cornish Metals Inc. (AIM/TSX-V: CUSN) (“Cornish Metals” or the “Company”), a mineral exploration and development company focused on advancing its 100% owned and permitted South Crofty tin project in Cornwall, United Kingdom, announces the exercise of 750,000 stock options by using the net exercise method.",neutral,générale
"Stepan Company: Expect Further Upside From This Point On. Stepan Company continues to deliver strong top- and bottom-line growth, driven by higher selling prices and increased volumes, especially in polymers. Profit margins are improving, with administrative and R&D costs declining as a percentage of sales, boosting overall profitability and cash flow. Shares remain attractively valued both absolutely and relative to peers, trading at low multiples and offering compelling upside potential.",neutral,importante
"London BTC Company raises £1.5 million to fund Bitcoin mining, holdings and Nasdaq listing. London BTC Company Limited (LSE:BTC, OTCQB:VINZF) has raised £1.5 million as part of its latest investment round as it eyes further expansion and looks to list in New York. The cash will be used to purchase new mining equipment, increase its Bitcoin holdings, cover day-to-day expenses, and offset fees associated with its planned Nasdaq listing in the US.",neutral,générale
"Ripple CEO: Stablecoin Market Could Hit $2 Trillion in Coming Years. Ripple CEO Brad Garlinghouse believes the stablecoin sector is poised for explosive growth, projecting the market could balloon to $2 trillion in the near future.",neutral,importante
"Bitcoin Rally Ahead? DXY Breakdown Suggests Capital Shift To Risk-On Assets. The US national debt recently hit a new all-time high (ATH), surging above $36.5 trillion and putting significant pressure on the US Dollar Index (DXY). As the DXY struggles under the weight of mounting debt, crypto analysts believe capital may soon shift to risk-on assets like Bitcoin (BTC).",neutral,importante
"DLocal: A Great Opportunity For LatAm & EM Exposure. DLocal solves cross-border payment challenges in emerging markets via a single API, simplifying access for global businesses. Its moat lies in enabling seamless transactions across fragmented financial systems in Latin America, Africa, and Asia. Revenue is heavily concentrated in Latin America, but secular growth trends in emerging markets provide strong long-term catalysts.",neutral,importante
"Trump Says 50% Tariff on Copper Imports to Be Effective August 1. US President Donald Trump said the US would begin levying a 50% tariff on copper imports from Aug. 1. Trump's latest remarks leave out critical details sought by metals traders such as how the tariff will be initially enforced, which products will be covered, and whether any suppliers will be granted exemptions.",negative,générale
"Bitcoin investors have now splashed over $50B on US spot ETFs. BlackRock and Fidelity's spot Bitcoin ETFs have led the charge, with momentum only slightly dented due to outflows from Grayscale's Bitcoin fund.",positive,importante
"Aalberts N.V.: Aalberts intends to acquire GVT in Southeast Asian semicon market. Utrecht, 10 July 2025 Aalberts N.V. has entered into an agreement with Grand Venture Technology Limited (GVT) for the proposed acquisition of 100% of the company.",negative,générale
"USD/INR opens higher while investors await India-US trade deal confirmation. The Indian Rupee (INR) opens higher against the US Dollar (USD) on Thursday. The USD/INR pair drops to near 85.70, while investors await the confirmation of the trade deal between India and the United States (US) to gauge direction.",neutral,importante
"Pump.fun to launch PUMP token via ICO on July 12 — what you need to know. Pump.fun, the Solana-based memecoin launchpad, is launching its official token, PUMP, through an initial coin offering on Saturday, July 12. The official announcement was made on July 9 via Pump.fun's official X account.",positive,générale
"USD/CAD Price Forecast: Continues to struggles near 20-day EMA. The USD/CAD pair trades in a tight range near 1.3700 during Asian trading hours on Thursday. The Loonie pair struggles to gauge direction as investors seek fresh development on trade negotiations between the United States (US) and its key trading partners, such as the Eurozone, China, Canada, and Mexico.",neutral,générale
"TSMC Revenue Rises 39% Amid AI Spending Boom. TSMC's revenue rose a better-than-anticipated 39% in the June quarter. The chipmaker for Nvidia and Apple sales climbed to NT$934 billion ($32 billion) for the three months, beating the average analyst projection for about NT$928 billion.",neutral,importante
"HELO: Cutting Volatility And Market Upside As Well. JPMorgan Hedged Equity Laddered Overlay ETF combines fundamental stock selection and SPY options to reduce downside risk. Despite an undeniable success at cutting volatility, HELO has given up a lot of market upside and underperformed SPY in risk-adjusted return. With only 21 months of track record, we still have to see how HELO behaves in a bear market or a deep correction.",positive,importante
